A	B	C_In	S	Final	C_out	V	LED(850,20)	LED(850,40)	LED(850,60)	LED(850,80)	7 segment(900,250).a	7 segment(900,250).b	7 segment(900,250).c	7 segment(900,250).d	7 segment(900,250).e	7 segment(900,250).f	7 segment(900,250).g
1111	0001	1	100	0000	1	0	0	0	0	0	1	1	1	1	1	1	0
1011	0001	1	100	1100	0	0	0	0	0	0	1	1	1	1	0	1	1
1011	0001	1	000	xxxx	x	x	1	0	0	0	E	E	E	E	E	E	E
1010	0001	1	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1110	0001	1	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1010	0001	1	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1010	1001	1	000	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1010	1101	1	000	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1010	1111	1	000	xxxx	x	x	0	1	0	1	E	E	E	E	E	E	E
1010	1111	0	000	xxxx	x	x	0	1	0	1	E	E	E	E	E	E	E
1010	1111	0	100	1010	0	0	0	0	0	0	1	1	0	1	1	1	1
1010	1111	0	110	1011	0	0	0	0	0	0	1	1	1	1	0	1	1
1010	1111	0	111	0101	1	0	0	0	0	0	1	0	1	1	0	1	1
1010	1101	0	111	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
1000	1101	0	111	0101	1	0	0	0	0	0	1	0	1	1	0	1	1
1000	1101	0	110	1011	0	0	0	0	0	0	1	1	1	1	0	1	1
1000	1001	0	110	1111	0	0	0	0	0	0	1	1	1	1	0	1	1
1000	1011	0	110	1101	0	0	0	0	0	0	1	0	1	1	0	1	1
1000	1011	0	100	1000	0	0	0	0	0	0	1	1	1	1	1	1	1
1010	1011	0	100	1010	0	0	0	0	0	0	1	1	0	1	1	1	1
1010	1111	0	100	1010	0	0	0	0	0	0	1	1	0	1	1	1	1
1010	1101	0	100	1010	0	0	0	0	0	0	1	1	0	1	1	1	1
1010	1101	0	000	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1010	1100	0	000	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1010	1101	0	000	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1000	1101	0	000	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1010	1101	0	000	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
